'Planner', 'Visualization',Simulation_Time,'Max nr of acs in grid', 'dt', 'Nr Spawned acs', 'Avg nr of acs in grid',Mean t CBS',Max_t_alg, 'Total time',Average_route_time_per_ac,Max_route_time_per_ac,'Average route length per ac','Max route length per ac',,,CoV TTT,CoV ARA,CoV MRT,CoV MAT,,,,,
CBS,FALSE,94.5,5,0.5,51,4.333333333,0.008841944,0.06781888,4.423742056,8.529411765,12.5,17.05882353,25,,56,0.04113962,0.041434695,0.033897957,2.224453602,,,,,
CBS,FALSE,96,5,0.5,51,4.401041667,0.010176182,0.117712975,4.451688528,8.784313725,12.5,17.56862745,25,,57,0.040771546,0.041062473,0.033722669,2.240381832,,,,,
CBS,FALSE,95.5,5,0.5,50,4.235602094,0.008817082,0.217344999,4.879394054,8.59,12.5,17.18,25,,58,0.040413239,0.040802729,0.033548085,2.249805817,,,,,
CBS,FALSE,93,5,0.5,50,4.231182796,0.026578307,1.033986807,5.33823061,8.37,12,16.74,24,,59,0.040237398,0.040904963,0.033353543,2.21479092,,,,,
CBS,FALSE,91.5,5,0.5,50,4.316939891,0.013051214,0.444808483,4.643722773,8.4,12,16.8,24,,60,0.040297094,0.040928053,0.033161465,2.210813453,,,,,
CBS,FALSE,94,5,0.5,50,4.420212766,0.030428468,1.034178734,5.703082561,8.81,12.5,17.62,25,,61,0.040019539,0.040589832,0.033005212,2.17759163,,,,,
CBS,FALSE,93,5,0.5,50,4.220430108,0.011770539,0.206426144,5.127286673,8.35,12,16.7,24,,62,0.039841309,0.040709924,0.032823837,2.186844702,,,,,
CBS,FALSE,95.5,5,0.5,50,4.387434555,0.024563159,0.981556416,6.441321611,8.88,12,17.76,24,,63,0.039518316,0.040415814,0.032644619,2.157118667,,,,,
CBS,FALSE,97.5,5,0.5,50,4.18974359,0.007771368,0.118678331,4.457978249,8.67,12,17.34,24,,64,0.039284567,0.040115464,0.032467565,2.170831906,,,,,
CBS,FALSE,96.5,5,0.5,50,4.316062176,0.056952355,1.129205704,7.281823397,8.83,13,17.66,26,,65,0.0389936,0.039812037,0.033162102,2.135883602,,,,,
CBS,FALSE,101,5,0.5,50,4.435643564,0.062477127,1.65412426,7.460473537,9.46,12,18.92,24,,66,0.039309613,0.04070006,0.032991737,2.08442839,,,,,
CBS,FALSE,92.5,5,0.5,50,4.432432432,0.016885122,0.297179222,6.211435795,8.7,13,17.4,26,,67,0.039224188,0.040403384,0.033625386,2.088408792,,,,,
CBS,FALSE,97,5,0.5,50,4.097938144,0.006628803,0.110724688,5.322770357,8.45,13,16.9,26,,68,0.038967513,0.040349532,0.034200956,2.101515761,,,,,
